ID,PT,tokens_est_instance,tokens_est_id
500ins,Descreva o personagem Romeu de Romeu e Julieta.,16,2
501ins,Determine qual afirmação é verdadeira.,15,2
502ins,Faça uma lista de cinco itens que você precisa comprar no supermercado.,25,2
503ins,Cite cinco vantagens sociais da internet.,15,2
527ins,Avalie a seguinte expressão: (6+2)*(2-2).,21,3
528ins,Encontre a temperatura da água que está fervendo ao nível do mar.,25,2
529ins,Descreva os eventos do seguinte filme: O Grande Gatsby.,20,2
530ins,"Calcule a área de um triângulo com os seguintes lados: 10, 14, 8.",27,2
531ins,Descreva uma estratégia para aumentar o tráfego do site.,23,3
532ins,Faça uma lista de quatro estilos de móveis.,18,3
533ins,Liste quatro estratégias para ensinar crianças a ler.,20,2
534ins,Calcule a derivada de 2x^2 + 5x.,14,3
535ins,Descreva o processo de osmose.,11,2
536ins,Descreva uma ferramenta usada para depurar um programa.,18,2
537ins,Edite a frase a seguir para eliminar quaisquer erros gramaticais: Eles tentaram consertar o carro o dia todo.,37,2
538ins,"Compare e contraste os dois softwares, Microsoft Word e Google Docs.",18,2
539ins,Selecione a palavra mais apropriada da lista.,18,3
540ins,Escreva uma piada engraçada.,12,2
541ins,Elabore um plano de negócios para um novo restaurante.,18,3
542ins,Elabore um plano estratégico para uma marca de moda aumentar sua presença online.,29,3
543ins,Escolha a resposta correta.,10,3
544ins,"Escreva uma definição para a palavra \""meandro\"".",19,2
545ins,Determine um preço para o item.,11,2
546ins,Liste cinco dos personagens principais do filme.,15,2
547ins,Compare e contraste os 3 esportes mais populares nos EUA.,17,3
548ins,Escreva 3 fatos sobre o Tour de France,12,2
549ins,Descreva a cerimônia de premiação do MVP da NBA de 1981,19,2
550ins,Liste 5 frutas diferentes,10,2
551ins,"Reescreva a seguinte frase:\n\n\""O candidato é um indivíduo muito motivado\""",32,2
552ins,Cite 4 tipos diferentes de arte,11,2
553ins,Qual é a história do Tour de France?,11,2
554ins,"Em 50 palavras ou menos, descreva o tipo de atmosfera de um jogo de basquete moderno",31,2
555ins,O que é teste de caixa preta e por que ele é importante?,19,2
556ins,Como podemos usar o aprendizado de máquina para melhorar o treinamento esportivo?,30,2
557ins,Liste 5 benefícios de praticar esportes,14,2
558ins,Descreva o impacto do Tour de France na história do ciclismo,19,2
559ins,Transforme a seguinte frase em uma pergunta:\n\nO Houston Rockets é um time profissional de basquete americano,34,2
560ins,Como a análise pode ser usada nos esportes?,17,2
561ins,Escreva um parágrafo descrevendo um evento esportivo,17,2
562ins,Preencha a lacuna com uma palavra ou frase\n\nO time que teve mais sucesso na NBA é o ____,36,2
563ins,Gere 2 frases de uma conversa que ocorre entre o gerente e o cliente.,25,2
564ins,Cite duas maneiras pelas quais uma empresa pode usar Inteligência Artificial.,28,3
565ins,Conte uma história sobre uma garota que viaja para a lua.,21,2
566ins,Resuma um determinado poema em no máximo 5 frases.,17,3
567ins,Dê uma breve resposta à seguinte pergunta.,17,3
568ins,Descreva como a tecnologia mudou a maneira como trabalhamos.,23,2
569ins,Crie uma declaração de abertura válida para um discurso sobre a importância do voto.,32,3
570ins,Crie uma lista de tarefas para um determinado feriado.,19,2
571ins,Encontre uma frase que possa ser usada para explicar por que alguém não deve usar um produto específico.,38,2
572ins,Crie uma declaração de abertura para um discurso sobre os efeitos das mudanças climáticas.,35,2
573ins,Encontre uma frase que possa ser usada para encerrar um discurso sobre as causas do aquecimento global.,33,2
574ins,Dê um exemplo de como a tecnologia é usada na educação.,22,2
575ins,Gere duas frases de uma conversa que ocorre entre dois lojistas.,23,2
576ins,Crie uma pergunta com base na seguinte entrada.,17,2
577ins,"Dado o nome de uma pessoa, informe seu cargo",17,2
578ins,"Dado um conjunto de letras, explique os significados implícitos nelas.",23,2
579ins,Melhore a frase a seguir fazendo as alterações necessárias.,25,2
580ins,Remova quaisquer erros na frase a seguir.,15,2
581ins,Categorize os seguintes itens como móveis ou itens de cozinha.,25,2
582ins,Compare e contraste os dois itens a seguir.,14,2
583ins,Forneça uma explicação de causa e efeito para a seguinte afirmação.,28,2
584ins,Reescreva a frase a seguir substituindo todas as palavras por sinônimos para torná-la mais clara.,38,2
585ins,Leia a história a seguir e decida se ela é ficção ou não ficção.,30,2
586ins,Reescreva a frase a seguir adicionando um adjetivo.,19,2
587ins,Analise a seguinte declaração política e determine sua precisão.,24,2
588ins,Pegue duas palavras e crie uma palavra completamente nova combinando-as.,28,2
589ins,Escreva um resumo de uma frase do seguinte artigo de notícias.,24,2
590ins,Edite a frase a seguir para tornar a pontuação e a capitalização mais precisas.,29,2
591ins,"Crie um pequeno poema usando a palavra \""lua\"".",18,2
592ins,Sugira um título para a seguinte postagem do blog.,20,2
